vt_1_x,vt_1_y,vt_1_z,vt_2_x,vt_2_y,vt_2_z,vt_3_x,vt_3_y,vt_3_z,vt_4_x,vt_4_y,vt_4_z
1.35,4.6,0.0,1.55,4.6,0.0,1.55,4.8,0.0,1.35,4.8,0.0
1.35,4.8,0.0,1.55,4.8,0.0,1.55,5.0,0.0,1.35,5.0,0.0
1.35,5.0,0.0,1.55,5.0,0.0,1.55,5.2,0.0,1.35,5.2,0.0
1.35,5.2,0.0,1.55,5.2,0.0,1.55,5.4,0.0,1.35,5.4,0.0
1.35,5.4,0.0,1.55,5.4,0.0,1.55,5.6,0.0,1.35,5.6,0.0
1.35,5.6,0.0,1.55,5.6,0.0,1.55,5.8,0.0,1.35,5.8,0.0
1.35,5.8,0.0,1.55,5.8,0.0,1.55,6.0,0.0,1.35,6.0,0.0
1.55,0.0,0.0,1.75,0.0,0.0,1.75,0.2,0.0,1.55,0.2,0.0
1.55,0.2,0.0,1.75,0.2,0.0,1.75,0.4,0.0,1.55,0.4,0.0
1.55,0.4,0.0,1.75,0.4,0.0,1.75,0.6,0.0,1.55,0.6,0.0
1.55,0.6,0.0,1.75,0.6,0.0,1.75,0.8,0.0,1.55,0.8,0.0
1.55,0.8,0.0,1.75,0.8,0.0,1.75,1.0,0.0,1.55,1.0,0.0
1.55,1.0,0.0,1.75,1.0,0.0,1.75,1.2,0.0,1.55,1.2,0.0
1.55,1.2,0.0,1.75,1.2,0.0,1.75,1.4,0.0,1.55,1.4,0.0
1.55,1.4,0.0,1.75,1.4,0.0,1.75,1.6,0.0,1.55,1.6,0.0
1.55,1.6,0.0,1.75,1.6,0.0,1.75,1.8,0.0,1.55,1.8,0.0
1.55,1.8,0.0,1.75,1.8,0.0,1.75,2.0,0.0,1.55,2.0,0.0
1.55,2.0,0.0,1.75,2.0,0.0,1.75,2.2,0.0,1.55,2.2,0.0
1.55,2.2,0.0,1.75,2.2,0.0,1.75,2.4,0.0,1.55,2.4,0.0
1.55,2.4,0.0,1.75,2.4,0.0,1.75,2.6,0.0,1.55,2.6,0.0
1.55,2.6,0.0,1.75,2.6,0.0,1.75,2.8,0.0,1.55,2.8,0.0
